Channel Id,Channel Url,Channel Title
UC-8QAzbLcRglXeN_MY9blyw,http://www.youtube.com/channel/UC-8QAzbLcRglXeN_MY9blyw,Ben Awad
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-9njFlYElQEzCIDAPd0FMA,http://www.youtube.com/channel/UC-9njFlYElQEzCIDAPd0FMA,Sean Anthony
UC-CSyyi47VX1lD9zyeABW3w,http://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee
UC-E5HkOL3H8OqzRy7ngWLIg,http://www.youtube.com/channel/UC-E5HkOL3H8OqzRy7ngWLIg,INFO GEEKS
UC-EnprmCZ3OXyAoG7vjVNCA,http://www.youtube.com/channel/UC-EnprmCZ3OXyAoG7vjVNCA,Stanford
UC-IP8YW4UAxHPodCxM8TxVg,http://www.youtube.com/channel/UC-IP8YW4UAxHPodCxM8TxVg,Mithila Palkar
UC-RKpEc4eE9PwJaupN91xYQ,http://www.youtube.com/channel/UC-RKpEc4eE9PwJaupN91xYQ,Sprouts
UC-jn4QgSxr77aUEX9RX1jbA,http://www.youtube.com/channel/UC-jn4QgSxr77aUEX9RX1jbA,IdeaSpot
UC0A-v_DL-h76F75xik8h03Q,http://www.youtube.com/channel/UC0A-v_DL-h76F75xik8h03Q,TRENDIFIER
UC0Ize0RLIbGdH5x4wI45G-A,http://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A,Drew Binsky
UC0RhatS1pyxInC00YKjjBqQ,http://www.youtube.com/channel/UC0RhatS1pyxInC00YKjjBqQ,GeeksforGeeks
UC0VHsTdbzwPt3ysehIoXFgA,http://www.youtube.com/channel/UC0VHsTdbzwPt3ysehIoXFgA,NW Fishing Secrets
UC0ZTPkdxlAKf-V33tqXwi3Q,http://www.youtube.com/channel/UC0ZTPkdxlAKf-V33tqXwi3Q,HackerSploit
UC0rqucBdTuFTjJiefW5t-IQ,http://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ,TensorFlow
UC0sY74kBC9RqIuyOOMMOSKg,http://www.youtube.com/channel/UC0sY74kBC9RqIuyOOMMOSKg,CTF School
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC1F14HahX7yw4OMyYvUjIcQ,http://www.youtube.com/channel/UC1F14HahX7yw4OMyYvUjIcQ,Wandering Monk
UC1fLEeYICmo3O9cUsqIi7HA,http://www.youtube.com/channel/UC1fLEeYICmo3O9cUsqIi7HA,Nick White
UC1szFCBUWXY3ESff8dJjjzw,http://www.youtube.com/channel/UC1szFCBUWXY3ESff8dJjjzw,Loi Liang Yang
UC1zdg4EKQJSf_KhZ96qpk7w,http://www.youtube.com/channel/UC1zdg4EKQJSf_KhZ96qpk7w,The Aadar Guy
UC29ju8bIPH5as8OGnQzwJyA,http://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA,Traversy Media
UC2Cl2g2xFTZoAEldxYVzQFg,http://www.youtube.com/channel/UC2Cl2g2xFTZoAEldxYVzQFg,Geo History
UC2I6Et1JkidnnbWgJFiMeHA,http://www.youtube.com/channel/UC2I6Et1JkidnnbWgJFiMeHA,Steve1989MREInfo
UC2UWtuZR3kH-5C26HVMMB6A,http://www.youtube.com/channel/UC2UWtuZR3kH-5C26HVMMB6A,Aayush Sapra
UC2WHjPDvbE6O328n17ZGcfg,http://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg,ForrestKnight
UC2jAc3ifBNVT03iLjXSRPwQ,http://www.youtube.com/channel/UC2jAc3ifBNVT03iLjXSRPwQ,Future Unity
UC2moSRusbD8Bx-KLeE4xHtA,http://www.youtube.com/channel/UC2moSRusbD8Bx-KLeE4xHtA,Project Millionaire Group
UC2oAkdErqgHBRHR10VWf-LA,http://www.youtube.com/channel/UC2oAkdErqgHBRHR10VWf-LA,JEPiano
UC2sIhf108S02F0Qlb2a88eQ,http://www.youtube.com/channel/UC2sIhf108S02F0Qlb2a88eQ,Booming Bulls
UC35HKvKYPkri4Grd5KXl3wQ,http://www.youtube.com/channel/UC35HKvKYPkri4Grd5KXl3wQ,Lilifilm Official
UC3PdiRW5dUA4V70ueeR1eHA,http://www.youtube.com/channel/UC3PdiRW5dUA4V70ueeR1eHA,zayn
UC3ScyryU9Oy9Wse3a8OAmYQ,http://www.youtube.com/channel/UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official
UC3bosUr3WlKYm4sBaLs-Adw,http://www.youtube.com/channel/UC3bosUr3WlKYm4sBaLs-Adw,CuriousMarc
UC3fg6pL63upkXCc0T203wVg,http://www.youtube.com/channel/UC3fg6pL63upkXCc0T203wVg,Sara Dietschy
UC3mb5QRlm4VQmOZD_P0ctGw,http://www.youtube.com/channel/UC3mb5QRlm4VQmOZD_P0ctGw,A. R. Rahman
UC3s0BtrBJpwNDaflRSoiieQ,http://www.youtube.com/channel/UC3s0BtrBJpwNDaflRSoiieQ,Hak5
UC4-uObu-mfafJyxxZFEwbvQ,http://www.youtube.com/channel/UC4-uObu-mfafJyxxZFEwbvQ,UnJaded Jade
UC4FrvWBLhbOkpgOHj-jz6Ww,http://www.youtube.com/channel/UC4FrvWBLhbOkpgOHj-jz6Ww,The Documentary Network
UC4JX40jDee_tINbkjycV4Sg,http://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
UC4OVVw3FpNUeqmIMhB62gKg,http://www.youtube.com/channel/UC4OVVw3FpNUeqmIMhB62gKg,Stacks
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4SVo0Ue36XCfOyb5Lh1viQ,http://www.youtube.com/channel/UC4SVo0Ue36XCfOyb5Lh1viQ,Bro Code
UC4a-Gbdw7vOaccHmFo40b9g,http://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy
UC4o8Fdpv3g_AjgShAeivqpA,http://www.youtube.com/channel/UC4o8Fdpv3g_AjgShAeivqpA,Naresh i Technologies
UC4rlAVgAK0SGk-yTfe48Qpw,http://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE
UC4sUB8rYVHcwpGSBTef9KmQ,http://www.youtube.com/channel/UC4sUB8rYVHcwpGSBTef9KmQ,Mugen Rao - Topic
UC4xKdmAXFh4ACyhpiQ_3qBw,http://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw,TechLead
UC52kszkc08-acFOuogFl5jw,http://www.youtube.com/channel/UC52kszkc08-acFOuogFl5jw,Tibees
UC58_wzhvJta3hDSPvRLDAqg,http://www.youtube.com/channel/UC58_wzhvJta3hDSPvRLDAqg,Anuj Bhaiya
UC5CMtpogD_P3mOoeiDHD5eQ,http://www.youtube.com/channel/UC5CMtpogD_P3mOoeiDHD5eQ,Codecademy
UC5NZ71oAHbXzhd-Mr1UxMNA,http://www.youtube.com/channel/UC5NZ71oAHbXzhd-Mr1UxMNA,Story Recapped
UC5VP2Yr-U7PHyDKHQQfkH9w,http://www.youtube.com/channel/UC5VP2Yr-U7PHyDKHQQfkH9w,Dare to do. Motivation
UC5YKivGUTTQmhSuaXbxfZSg,http://www.youtube.com/channel/UC5YKivGUTTQmhSuaXbxfZSg,Proactive Thinker
UC5nlKFUNoskvV5XdW6PbgYw,http://www.youtube.com/channel/UC5nlKFUNoskvV5XdW6PbgYw,A Well-Rested Dog
UC66Ggxy8MHX9DCDohdRYDTA,http://www.youtube.com/channel/UC66Ggxy8MHX9DCDohdRYDTA,Edan Meyer
UC6HDXr-sNPnWLF_Q-y3KduA,http://www.youtube.com/channel/UC6HDXr-sNPnWLF_Q-y3KduA,Chess Talk
UC6UXGO8RHpsrVYTIElLiyng,http://www.youtube.com/channel/UC6UXGO8RHpsrVYTIElLiyng,Ellen Kelley
UC6WzPg6yxF9dQx2_O6R4lww,http://www.youtube.com/channel/UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput
UC6biysICWOJ-C3P4Tyeggzg,http://www.youtube.com/channel/UC6biysICWOJ-C3P4Tyeggzg,Low Level Learning
UC6kb0evup3Kgbz0N067E9wA,http://www.youtube.com/channel/UC6kb0evup3Kgbz0N067E9wA,HaAshOficial
UC6mIxFTvXkWQVEHPsEdflzQ,http://www.youtube.com/channel/UC6mIxFTvXkWQVEHPsEdflzQ,GreatScott!
UC77F5cVeujbOORtqf47chLQ,http://www.youtube.com/channel/UC77F5cVeujbOORtqf47chLQ,Fast Films
UC7IMq6lLHbptAnSucW1pClA,http://www.youtube.com/channel/UC7IMq6lLHbptAnSucW1pClA,FilterCopy
UC7YOGHUfC1Tb6E4pudI9STA,http://www.youtube.com/channel/UC7YOGHUfC1Tb6E4pudI9STA,Mental Outlaw
UC7sDT8jZ76VLV1u__krUutA,http://www.youtube.com/channel/UC7sDT8jZ76VLV1u__krUutA,DUST
UC7yF9tV4xWEMZkel7q8La_w,http://www.youtube.com/channel/UC7yF9tV4xWEMZkel7q8La_w,PeterSripol
UC7yZ6keOGsvERMp2HaEbbXQ,http://www.youtube.com/channel/UC7yZ6keOGsvERMp2HaEbbXQ,devaslife
UC8-MB2TnXV7axsw6Ykobkjw,http://www.youtube.com/channel/UC8-MB2TnXV7axsw6Ykobkjw,RipoN
UC82ObtDCmUuWwrWhpQsX-HQ,http://www.youtube.com/channel/UC82ObtDCmUuWwrWhpQsX-HQ,Aakash BYJU'S JEE
UC8PICQUP0a_HsrA9S4IIgWw,http://www.youtube.com/channel/UC8PICQUP0a_HsrA9S4IIgWw,Motivation2Study
UC8XKyvQ5Ne_bvYbgv8LaIeg,http://www.youtube.com/channel/UC8XKyvQ5Ne_bvYbgv8LaIeg,Captain Sinbad
UC8bTQzxgvKkXDAaWkeuUlkg,http://www.youtube.com/channel/UC8bTQzxgvKkXDAaWkeuUlkg,Trevor Noah
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC8ggBI3Od1bV426XG2II99A,http://www.youtube.com/channel/UC8ggBI3Od1bV426XG2II99A,void code
UC8kelkj5uKW5WKNZWLVuM2A,http://www.youtube.com/channel/UC8kelkj5uKW5WKNZWLVuM2A,Ft Thoughts
UC8uT9cgJorJPWu7ITLGo9Ww,http://www.youtube.com/channel/UC8uT9cgJorJPWu7ITLGo9Ww,The 8-Bit Guy
UC8wZnXYK_CGKlBcZp-GxYPA,http://www.youtube.com/channel/UC8wZnXYK_CGKlBcZp-GxYPA,NeuralNine
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UC90kgf-LeCW14VHqhwxfIzg,http://www.youtube.com/channel/UC90kgf-LeCW14VHqhwxfIzg,The Mentor House
UC92rvEjR-5ggjVUotRK8UQA,http://www.youtube.com/channel/UC92rvEjR-5ggjVUotRK8UQA,Alex Lynd
UC9Ep0Y4T5rvUuIfjKN1wqTw,http://www.youtube.com/channel/UC9Ep0Y4T5rvUuIfjKN1wqTw,Ridddle
UC9MAhZQQd9egwWCxrwSIsJQ,http://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY
UC9PIn6-XuRKZ5HmYeu46AIw,http://www.youtube.com/channel/UC9PIn6-XuRKZ5HmYeu46AIw,Barely Sociable
UC9RfFnZa7EPPkxb3hX32rFA,http://www.youtube.com/channel/UC9RfFnZa7EPPkxb3hX32rFA,Anthony & Ana
UC9lKBRxxsDIarUmNaPe0h0Q,http://www.youtube.com/channel/UC9lKBRxxsDIarUmNaPe0h0Q,Sorelle Amore Finance
UC9lztld5qPi-6WZ9_QIVR6g,http://www.youtube.com/channel/UC9lztld5qPi-6WZ9_QIVR6g,Parth G
UC9x0AN7BWHpCDHSm9NiJFJQ,http://www.youtube.com/channel/UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck
UCAYum5hCyfkSH5T3vSD_kwQ,http://www.youtube.com/channel/UCAYum5hCyfkSH5T3vSD_kwQ,Aakash Gupta
UCAbAsEZ-0LccTNbl8r-3EaQ,http://www.youtube.com/channel/UCAbAsEZ-0LccTNbl8r-3EaQ,Scott Yu-Jan
UCAg6Uf85P2Ai1727r2KuA3g,http://www.youtube.com/channel/UCAg6Uf85P2Ai1727r2KuA3g,Johanna Aquino Lebouef
UCAn8NrZ-J4CRfwodajqFYoQ,http://www.youtube.com/channel/UCAn8NrZ-J4CRfwodajqFYoQ,BotezLive
UCB12jjYsYv-eipCvBDcMbXw,http://www.youtube.com/channel/UCB12jjYsYv-eipCvBDcMbXw,Tech Primers
UCB6PV0cvJpzlcXRG7nz6PpQ,http://www.youtube.com/channel/UCB6PV0cvJpzlcXRG7nz6PpQ,Motherboard
UCB6dvaWu0N8uVq2yKsZ5s5g,http://www.youtube.com/channel/UCB6dvaWu0N8uVq2yKsZ5s5g,SuperSimpleDev
UCBIt1VN5j37PVM8LLSuTTlw,http://www.youtube.com/channel/UCBIt1VN5j37PVM8LLSuTTlw,Improvement Pill
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCBdfli20jrAscmR9COL35qg,http://www.youtube.com/channel/UCBdfli20jrAscmR9COL35qg,Cloud With Raj
UCBefBxNTPoNCQBU_Lta6Nvg,http://www.youtube.com/channel/UCBefBxNTPoNCQBU_Lta6Nvg,NEFFEX